DATE,OPEN,HIGH,LOW,CLOSE,NO. OF SHARES,NO. OF TRADES
2/11/2020,133.7,134,131.1,132.85,3930814,17625
30-10-2020,132.9,134.5,130.3,132.7,3535203,18730
29-10-2020,132.4,133,130,131.9,3900882,25915
28-10-2020,138.2,143.15,133.5,134.8,10895926,67948
27-10-2020,134,136.8,131,135.7,2354638,12645
26-10-2020,139.4,140.75,131.2,133.65,6481648,37408
23-10-2020,134.85,138.9,134.15,137,3019050,20661
22-10-2020,129.05,134.5,128.45,133.45,3949368,28199
21-10-2020,131.25,133,128.25,130.25,3493665,22814
20-10-2020,128,130.25,126.4,129.65,2072303,16666
19-10-2020,130.7,130.7,127.85,128.25,1667032,13096
16-10-2020,129.8,130,126,127.7,3339831,22617
15-10-2020,131.9,134.35,126.5,127,3983711,31161
14-10-2020,134,134.6,128.8,130.7,1752029,16735
13-10-2020,135.55,137.1,132.85,134.1,1370296,8318
12/10/2020,139.55,139.85,133.05,135.85,2787824,22863
9/10/2020,141.4,142.65,138,138.45,1423879,8720
8/10/2020,142.8,143.35,139.65,140.9,2491175,18636
7/10/2020,144.1,144.5,139.8,141,4032654,25576
6/10/2020,137.8,145.7,135.9,144.85,10190922,67155
5/10/2020,137,137.5,132.05,133.9,2800303,18755
1/10/2020,135.7,136.5,132.6,133.5,1674311,8140
30-09-2020,133,134.4,130.5,133.3,1485659,8454
29-09-2020,135.2,136.1,130.75,131.7,3460244,14571
28-09-2020,129.25,134.3,127.4,132.85,4486014,23797
25-09-2020,125,128.35,123.1,127.35,3392464,16069
24-09-2020,127.8,128.8,122.15,122.8,2622477,14285
23-09-2020,135.95,136.8,128,131.35,3255741,17134
22-09-2020,138,138.25,129.7,133.1,3852935,20494
21-09-2020,148,148,135.5,137.4,3307721,17680
18-09-2020,149.9,150.55,146.25,147.9,1838584,9844
17-09-2020,150.9,150.9,146.2,147.6,2972214,22167
16-09-2020,149.05,154.25,148.6,151.6,3611848,20476
15-09-2020,149.6,149.6,146.55,148.3,2031221,11147
14-09-2020,147.5,151,145.5,148.4,5280050,30831
11/9/2020,143,146.7,141.7,144.3,3077106,14728
10/9/2020,142.6,144.25,138,143.25,4233177,23203
9/9/2020,141,141.7,135.75,140.25,3186166,17118
8/9/2020,149.5,149.7,141.2,142.25,3355452,17215
7/9/2020,150,152,148.1,149.35,3850308,19326
4/9/2020,147.4,153.6,146,147.75,5149109,25634
3/9/2020,151.6,155.15,149.7,151.75,6791110,38547
2/9/2020,145.45,151.8,141.5,150.4,3021832,16075
1/9/2020,144,145.1,140.4,143.8,2247315,15151
31-08-2020,145,147.9,138.25,143.2,6422588,25952
28-08-2020,143.25,146.15,137,142.7,7010665,37567
27-08-2020,139.85,146.8,139.35,144.35,8473638,35991
26-08-2020,129.8,139,128.4,137.85,9507010,37866
25-08-2020,121.55,128.3,121.4,127.05,4641160,19752
24-08-2020,121.5,122.95,120.8,121.2,2362543,12857
21-08-2020,123.95,124.3,120.2,120.95,2204272,11964
20-08-2020,123.7,125.65,121.25,121.7,2741368,13946
19-08-2020,127.3,127.6,124.75,125.15,4228289,17531
18-08-2020,124,127.5,123.6,125.6,3056734,13502
17-08-2020,124.75,126.3,120.7,123.5,3380248,13582
14-08-2020,131.85,132.6,123.75,124.55,4055261,20939
13-08-2020,126.55,131.8,124.35,131.1,5537095,24751
12/8/2020,121.35,126.35,120.65,125.3,2389349,9967
11/8/2020,124.75,125.75,121.45,122.3,2149180,9873
10/8/2020,119.95,124.65,119.55,123.8,5372280,24745
7/8/2020,117,119.7,116.25,119.1,2591596,10243
6/8/2020,115.6,117.7,115.5,116.8,3698124,16540
5/8/2020,112,117.65,111.95,115.5,4145395,15392
4/8/2020,113.05,115.1,110.8,111.4,5067642,18248
3/8/2020,103.4,114.4,103,113.05,15667312,78394
31-07-2020,103.9,105.4,102.35,104.7,2420006,12499
30-07-2020,106.15,106.75,103,103.7,2137259,12112
29-07-2020,107.1,108.65,104.85,105.8,3050391,14678
28-07-2020,102.5,107.2,102.2,106.5,2764547,10496
27-07-2020,104.15,104.6,101.35,101.7,2034349,12760
24-07-2020,104.9,105.5,102.8,103.75,3587146,10761
23-07-2020,105.1,106.45,104.65,106.05,3201397,13306
22-07-2020,108.6,109.75,104.35,105.15,3915097,15600
21-07-2020,106,109.7,105.55,108.5,3236032,12137
20-07-2020,106.45,106.45,103.8,105,2543174,12201
17-07-2020,103.5,106.85,103.3,106.4,3180286,14231
16-07-2020,104,104,100.65,103,2300058,8452
15-07-2020,106.65,106.85,102.5,103.2,2461474,8920
14-07-2020,106.45,107.55,104.1,105.15,2206560,8882
13-07-2020,109,112.1,106.85,107.95,3355503,14079
10/7/2020,106.85,108.6,105.5,107.55,4122223,17566
9/7/2020,106.5,108.9,104.6,107,4152629,18241
8/7/2020,109.8,110.9,104.4,105.45,2788387,13066
7/7/2020,110,112.6,108.05,109.05,4132270,16110
6/7/2020,104.2,109.8,104.2,109,4458844,18143
3/7/2020,102.7,106.35,102.1,103.45,3868211,15647
2/7/2020,101,102.95,100.45,101.55,1870677,7657
1/7/2020,98.75,101.4,98.2,100.7,3065502,12550
30-06-2020,101.5,102.15,97.35,98.25,3423499,18595
29-06-2020,101,101.3,98.05,99.5,3522342,19204
26-06-2020,105.65,106,100.45,101.55,4535729,18818
25-06-2020,104,106.2,101.6,103.85,3238756,10015
24-06-2020,104.95,110.8,104.2,104.75,5491674,19897
23-06-2020,102.8,106,101.85,104.35,4984804,22797
22-06-2020,103.8,104.9,101,102.65,3421333,12202
19-06-2020,96.4,103.8,95.6,102.45,11479377,46586
18-06-2020,94.8,97.2,94.05,96.4,7932391,21316
17-06-2020,92.8,96.4,92,95.45,8478385,28962
16-06-2020,101.25,103.5,92,94.75,10845171,36817
15-06-2020,104.85,104.85,100.05,100.45,4006860,19926
12/6/2020,99.1,106.2,98.2,105.25,5932333,19805
11/6/2020,111,111.1,105,106.05,3840042,13801
10/6/2020,110.9,113,108.45,111.5,4370354,15270
9/6/2020,117.5,117.75,110.35,111.45,4317176,15921
8/6/2020,114.8,119.05,113.05,115.5,7798382,28422
5/6/2020,100.9,112.4,99.6,110.7,8649199,30701
4/6/2020,99.3,101.3,96.75,98.5,3361121,12273
3/6/2020,100,101.45,97.5,98.8,4711300,18657
2/6/2020,89.4,97.3,89.4,96.5,6287956,22353
1/6/2020,89,91.15,88.05,89.6,3930444,12672
29-05-2020,85.8,87.45,84.65,86.9,3186012,10120
28-05-2020,85.65,88.05,84.55,86.85,3387527,12632
27-05-2020,84.25,86,84,84.6,2244804,8033
26-05-2020,83.85,85.65,82.65,83.1,1625707,6650
22-05-2020,83.45,83.9,82,82.75,1374618,5393
21-05-2020,83.2,85.15,83,84.05,2046339,6909
20-05-2020,81.8,84.4,80.8,83.45,1649338,6060
19-05-2020,83,85.6,81.55,81.8,2737879,10024
18-05-2020,84.7,84.7,79.6,80.65,2070292,9627
15-05-2020,85,85.35,82.9,84.4,1864129,7103
14-05-2020,84.4,85.3,82.65,83.8,2830820,11151
13-05-2020,94.1,94.1,86.3,87.25,3496462,15139
12/5/2020,86.1,87.7,83.55,86.15,3908399,14991
11/5/2020,81.85,90.45,81.55,86.1,7627363,27661
8/5/2020,84.7,84.85,80.55,81.05,1883318,8899
7/5/2020,83.25,84.65,82.15,82.5,1732595,6482
6/5/2020,81.8,84,80.4,83.1,2542246,10248
5/5/2020,86.3,86.75,80.4,80.95,2836210,13051
4/5/2020,87.45,87.45,81.5,83.9,3997604,20348
30-04-2020,85.95,93.75,85.95,93.1,7718772,36866
29-04-2020,77.7,79.3,76.75,78.15,2109471,6804
28-04-2020,75.9,78.1,75.3,76.95,1861672,6326
27-04-2020,76,76.15,74.8,75.25,1233681,5475
24-04-2020,75.3,76.9,74,74.15,2248898,7640
23-04-2020,76.55,78.65,75.3,75.65,3975655,10837
22-04-2020,74.75,76.65,72.6,75.9,2633362,10519
21-04-2020,78.8,78.8,74,74.75,2869173,15260
20-04-2020,77,83.35,75.45,80.5,7046533,26200
17-04-2020,78,78.25,74.75,76.85,3789325,12650
16-04-2020,72,75.4,71.1,74.65,2529141,11293
15-04-2020,75,78.65,71.95,72.85,5393926,22739
13-04-2020,75,77.6,72.75,74.3,3731307,14846
9/4/2020,69.55,76.2,69.2,74.6,8287109,23545
8/4/2020,67.05,71.55,65.45,67.6,4414992,14017
7/4/2020,68.95,69,66.95,67.35,1972661,9531
3/4/2020,68,68,64.8,65.3,1899909,10261
1/4/2020,71.1,71.6,67.6,67.95,2648532,11058
31-03-2020,71.45,71.45,68.2,71.05,2418642,11894
30-03-2020,70.65,70.65,67.4,68.15,2142665,9691
27-03-2020,71.05,75.85,69.4,70.65,2962238,14899
26-03-2020,71.7,73.5,68.3,70.8,2888342,13500
25-03-2020,68.9,71.7,67.1,70.2,2611383,10399
24-03-2020,70,71.2,63.6,68.6,2487156,13989
23-03-2020,71,72.1,69.7,69.7,1526872,10619
20-03-2020,74.3,79.55,72.7,77.4,4843183,19573
19-03-2020,70.6,76.5,68.8,72.95,5387940,21996
18-03-2020,80,80.5,75.1,75.5,3815807,18983
17-03-2020,82.7,84.8,77.5,77.9,5206037,20913
16-03-2020,86.75,87.65,82.2,82.95,3827222,20470
13-03-2020,82.2,94.2,78,89.75,10613571,36905
12/3/2020,92.7,94.9,85.75,88,8037400,32447
11/3/2020,105.2,106.5,97.75,99,5742651,21699
9/3/2020,110,110.2,104.35,105.8,3906384,22659
6/3/2020,114.3,117.25,112.95,114.25,4170651,20453
5/3/2020,128,129.8,124.3,125.65,4052208,17431
4/3/2020,130.5,130.5,120.55,126.3,3369295,18596
3/3/2020,126.75,131.3,125.25,130.4,3144747,17496
2/3/2020,133.5,133.8,123.8,125.2,4629842,24339
28-02-2020,139,139.5,127.05,129,4047465,26654
27-02-2020,144.7,146.7,141.1,145,1913144,11496
26-02-2020,147.65,147.95,143.8,144.5,1794832,12007
25-02-2020,152,153.4,147.45,149.85,2097229,11607
24-02-2020,154.4,155.8,149.55,150.6,1867741,11322
20-02-2020,158.6,162.15,156,158.45,2082091,12644
19-02-2020,163,164.1,153,158.05,3419137,23284
18-02-2020,168.4,168.4,158.6,161.6,2139569,13154
17-02-2020,170.95,171.2,166.45,169.1,1189932,6748
14-02-2020,170.3,176.1,168.4,169.1,2121007,12307
13-02-2020,171.05,172.25,168.2,169.45,979457,5482
12/2/2020,172,173.3,169,170.8,1353331,8371
11/2/2020,172.05,175.15,168.65,169.7,1780317,9436
10/2/2020,174,174,168.05,168.95,1441020,8758
7/2/2020,178,178.1,172.9,173.6,1696538,10839
6/2/2020,182.7,183.2,175.8,178.85,2456672,14245
5/2/2020,167.2,185,166.65,183.75,3949446,24709
4/2/2020,166.7,168.5,161.3,165.7,2074475,13428
3/2/2020,164,168.15,159.6,163.85,2751952,16246
1/2/2020,176,178.75,163.7,165.75,2610193,18868
31-01-2020,186.9,188.3,176,176.6,3091501,17957
30-01-2020,191.05,192.5,184.35,186.2,3017661,17307
29-01-2020,178.15,188.8,178.15,188.05,2478539,16722
28-01-2020,183.45,184.3,174.85,176.1,1602770,10869
27-01-2020,185.9,186.9,180.95,182.25,1295555,8242
24-01-2020,188.4,190.95,185.15,186.45,964477,6153
23-01-2020,186.1,190.35,183.9,188.4,1612956,8280
22-01-2020,192.1,192.6,184.25,185.55,1480430,10484
21-01-2020,195.8,196.5,190.1,191.45,874312,6414
20-01-2020,198.2,201.45,194.3,195.05,1343246,8097
17-01-2020,198.15,199.45,195.85,197.25,804157,5203
16-01-2020,199.95,200.6,196.9,197.5,1103669,7989
15-01-2020,195,201.8,194,200.3,1850446,10489
14-01-2020,196,198.1,193.7,195.75,1383757,7870
